Категория;Товар;Поисковые метки;Цена;Цена оптовая;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;Заголовок страницы;Ключевые слова;Описание страницы;Аннотация;Описание;Изображения;Производитель;Емкость;Тип масла;Тип двигателя;SAE (Вязкость);Применение;ACEA;API;ILSAC;DEXTRON;JASO;ISO;CCMC;CIK-FIA;NMMA;Класс вязкости;Тип фильтра;Функция;Модель;Высота H1 (mm);Высота H2 (mm);Диаметр внешний OD1 (mm);Диаметр внешний OD2 (mm);Диаметр внутренний ID1 (mm);Диаметр внутренний ID2 (mm);Резьба (?);Нижняя резьба (?);Наруж. диаметр прокладки OD2 (mm);Внутр. диаметр прокладки ID2 (mm);Тип колодки;Передний/Задний;Тип диска;Кол-во отверстий;Диаметр (mm) ;Диаметр фаски (mm);Длина L1 (mm);Длина L2 (mm);Ширина W1 (mm);Ширина W2 (mm);Толщина (мм);Высота (mm);Тип радиатора;Модель автомобиля;Размеры радиатора (mm);Впускной диаметр (mm);Выпускной диаметр (mm);Впускной диаметр (?);Выпускной диаметр (?);Комплект (шт);Материал;Примечание
"";"ENEOS GRAN-TOURING API SM 5W-40";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло<strong>ENEOS GRAN-TOURING API SM 5W-40</strong>- высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p></span></strong></span></p>";"<div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло  <strong>ENEOS GRAN-TOURING API SM 5W-40</strong>  - высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p><p style="line-height: 20.8000011444092px "><strong>Eneos Gran-Touring</strong>  содержит многофункциональный пакет присадок с дисульфидом молибдена, что способствует максимальному снижению трения, увеличению мощности и ресурса двигателя. Обладает энергосберегающими свойствами, хорошей термостабильностью и стойкостью к окислению, обеспечивает надежную защиту от износа и образования отложений. Обеспечивает легкий запуск и стабильную работу двигателя при любых условиях эксплуатации, поддерживает двигатель в чистоте. Благодаря уникальным низкозамерзающим свойствам масло рекомендуется для эксплуатации в районах с суровыми климатическими условиями.</p><div class="right"><ul class="product-benefit">";Eneos_Gran_Touring_5W40_1L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS GRAN-TOURING API SM 5W-40";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло<strong>ENEOS GRAN-TOURING API SM 5W-40</strong>- высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p></span></strong></span></p>";"<div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло  <strong>ENEOS GRAN-TOURING API SM 5W-40</strong>  - высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p><p style="line-height: 20.8000011444092px "><strong>Eneos Gran-Touring</strong>  содержит многофункциональный пакет присадок с дисульфидом молибдена, что способствует максимальному снижению трения, увеличению мощности и ресурса двигателя. Обладает энергосберегающими свойствами, хорошей термостабильностью и стойкостью к окислению, обеспечивает надежную защиту от износа и образования отложений. Обеспечивает легкий запуск и стабильную работу двигателя при любых условиях эксплуатации, поддерживает двигатель в чистоте. Благодаря уникальным низкозамерзающим свойствам масло рекомендуется для эксплуатации в районах с суровыми климатическими условиями.</p><div class="right"><ul class="product-benefit">";Eneos_Gran_Touring_5W40_1L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS GRAN-TOURING API SM 5W-40";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло<strong>ENEOS GRAN-TOURING API SM 5W-40</strong>- высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p></span></strong></span></p>";"<div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло  <strong>ENEOS GRAN-TOURING API SM 5W-40</strong>  - высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p><p style="line-height: 20.8000011444092px "><strong>Eneos Gran-Touring</strong>  содержит многофункциональный пакет присадок с дисульфидом молибдена, что способствует максимальному снижению трения, увеличению мощности и ресурса двигателя. Обладает энергосберегающими свойствами, хорошей термостабильностью и стойкостью к окислению, обеспечивает надежную защиту от износа и образования отложений. Обеспечивает легкий запуск и стабильную работу двигателя при любых условиях эксплуатации, поддерживает двигатель в чистоте. Благодаря уникальным низкозамерзающим свойствам масло рекомендуется для эксплуатации в районах с суровыми климатическими условиями.</p><div class="right"><ul class="product-benefit">";Eneos_Gran_Touring_5W40_20L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS GRAN-TOURING API SM 5W-40";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло<strong>ENEOS GRAN-TOURING API SM 5W-40</strong>- высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p></span></strong></span></p>";"<div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло  <strong>ENEOS GRAN-TOURING API SM 5W-40</strong>  - высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p><p style="line-height: 20.8000011444092px "><strong>Eneos Gran-Touring</strong>  содержит многофункциональный пакет присадок с дисульфидом молибдена, что способствует максимальному снижению трения, увеличению мощности и ресурса двигателя. Обладает энергосберегающими свойствами, хорошей термостабильностью и стойкостью к окислению, обеспечивает надежную защиту от износа и образования отложений. Обеспечивает легкий запуск и стабильную работу двигателя при любых условиях эксплуатации, поддерживает двигатель в чистоте. Благодаря уникальным низкозамерзающим свойствам масло рекомендуется для эксплуатации в районах с суровыми климатическими условиями.</p><div class="right"><ul class="product-benefit">";Eneos_Gran_Touring_5W40_20L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS GRAN-TOURING API SM 5W-40";;0.01;;;"1";;;"Объем 4л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло<strong>ENEOS GRAN-TOURING API SM 5W-40</strong>- высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p></span></strong></span></p>";"<div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло  <strong>ENEOS GRAN-TOURING API SM 5W-40</strong>  - высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p><p style="line-height: 20.8000011444092px "><strong>Eneos Gran-Touring</strong>  содержит многофункциональный пакет присадок с дисульфидом молибдена, что способствует максимальному снижению трения, увеличению мощности и ресурса двигателя. Обладает энергосберегающими свойствами, хорошей термостабильностью и стойкостью к окислению, обеспечивает надежную защиту от износа и образования отложений. Обеспечивает легкий запуск и стабильную работу двигателя при любых условиях эксплуатации, поддерживает двигатель в чистоте. Благодаря уникальным низкозамерзающим свойствам масло рекомендуется для эксплуатации в районах с суровыми климатическими условиями.</p><div class="right"><ul class="product-benefit">";Eneos_Gran_Touring_5W40_4L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS GRAN-TOURING API SM 5W-40";;0.01;;;"1";;;"Объем 4л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло<strong>ENEOS GRAN-TOURING API SM 5W-40</strong>- высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p></span></strong></span></p>";"<div class="left"><h3>100% синтетическое масло для бензиновых двигателей</h3> <div class="product-description"><p style="line-height: 20.8000011444092px ">Моторное масло  <strong>ENEOS GRAN-TOURING API SM 5W-40</strong>  - высококачественное 100% синтетическое моторное масло для высоконагруженных многоклапанных бензиновых двигателей, в том числе оборудованных турбонаддувом и интеркулером</p><p style="line-height: 20.8000011444092px "><strong>Eneos Gran-Touring</strong>  содержит многофункциональный пакет присадок с дисульфидом молибдена, что способствует максимальному снижению трения, увеличению мощности и ресурса двигателя. Обладает энергосберегающими свойствами, хорошей термостабильностью и стойкостью к окислению, обеспечивает надежную защиту от износа и образования отложений. Обеспечивает легкий запуск и стабильную работу двигателя при любых условиях эксплуатации, поддерживает двигатель в чистоте. Благодаря уникальным низкозамерзающим свойствам масло рекомендуется для эксплуатации в районах с суровыми климатическими условиями.</p><div class="right"><ul class="product-benefit">";Eneos_Gran_Touring_5W40_4L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER DIESEL CG-4 10W-40";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для дизельных двигателей</h3> <div class="product-description"><p>Моторное масло<strong>ENEOS Super Diesel CG-4 10W-40</strong>-полусинтетическое масло для высокооборотных четырёхтактных дизельных двигателей, в том числе с турбонаддувом. Состоит из высокоочищенного базового масла и пакета уникальных присадок, производства Nippon Oil Corporation.</p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для дизельных двигателей</h3> <div class="product-description"><p>Моторное масло  <strong>ENEOS Super Diesel CG-4 10W-40</strong>  -полусинтетическое масло для высокооборотных четырёхтактных дизельных двигателей, в том числе с турбонаддувом. Состоит из высокоочищенного базового масла и пакета уникальных присадок, производства Nippon Oil Corporation.</p><div class="right"><ul class="product-benefit">";Eneos_Super_Diesel_CG4_10W40_1L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER DIESEL CG-4 10W-40";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для дизельных двигателей</h3> <div class="product-description"><p>Моторное масло<strong>ENEOS Super Diesel CG-4 10W-40</strong>-полусинтетическое масло для высокооборотных четырёхтактных дизельных двигателей, в том числе с турбонаддувом. Состоит из высокоочищенного базового масла и пакета уникальных присадок, производства Nippon Oil Corporation.</p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для дизельных двигателей</h3> <div class="product-description"><p>Моторное масло  <strong>ENEOS Super Diesel CG-4 10W-40</strong>  -полусинтетическое масло для высокооборотных четырёхтактных дизельных двигателей, в том числе с турбонаддувом. Состоит из высокоочищенного базового масла и пакета уникальных присадок, производства Nippon Oil Corporation.</p><div class="right"><ul class="product-benefit">";Eneos_Super_Diesel_CG4_10W40_20L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER DIESEL CG-4 10W-40";;0.01;;;"1";;;"Объем 4л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для дизельных двигателей</h3> <div class="product-description"><p>Моторное масло<strong>ENEOS Super Diesel CG-4 10W-40</strong>-полусинтетическое масло для высокооборотных четырёхтактных дизельных двигателей, в том числе с турбонаддувом. Состоит из высокоочищенного базового масла и пакета уникальных присадок, производства Nippon Oil Corporation.</p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для дизельных двигателей</h3> <div class="product-description"><p>Моторное масло  <strong>ENEOS Super Diesel CG-4 10W-40</strong>  -полусинтетическое масло для высокооборотных четырёхтактных дизельных двигателей, в том числе с турбонаддувом. Состоит из высокоочищенного базового масла и пакета уникальных присадок, производства Nippon Oil Corporation.</p><div class="right"><ul class="product-benefit">";Eneos_Super_Diesel_CG4_10W40_4L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER GASOLINE SL 10W-40";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM &amp  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p><div class="right"><ul class="product-benefit">";Eneos_Super_Gasoline_SL_10W40_1L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER GASOLINE SL 10W-40";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM &amp  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p><div class="right"><ul class="product-benefit">";Eneos_Super_Gasoline_SL_10W40_1L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER GASOLINE SL 10W-40";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM &amp  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p><div class="right"><ul class="product-benefit">";Eneos_Super_Gasoline_SL_10W40_20L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER GASOLINE SL 10W-40";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM &amp  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p><div class="right"><ul class="product-benefit">";Eneos_Super_Gasoline_SL_10W40_20L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER GASOLINE SL 10W-40";;0.01;;;"1";;;"Объем 4л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM &amp  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p><div class="right"><ul class="product-benefit">";Eneos_Super_Gasoline_SL_10W40_4L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ENEOS SUPER GASOLINE SL 10W-40";;0.01;;;"1";;;"Объем 4л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p></span></strong></span></p>";"<div class="left"><h3>Полусинтетическое масло для бензиновых двигателей </h3> <div class="product-description"><p><span style="color: rgb(85, 85, 85)  font-family: Arial, Helvetica, sans-serif  font-size: 13px  line-height: 20px ">Полусинтетическое моторное масло <strong>ENEOS Super Gasoline</strong> высшей классификации по API для бензиновых двигателей, включая TWINCAM &amp  TURBO. Обеспечивает снижение расхода топлива, благодаря добавлению присадки, снижающей трение.</span></p><div class="right"><ul class="product-benefit">";Eneos_Super_Gasoline_SL_10W40_4L.jpg;ENEOS;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
